part_num,name,dimensions
1974,Dome Hemisphere 7 x 7 with 2 Pin Holes [Plain],7 x 7
20310,Brick Special 1 x 1 with Scroll with Open Stud,1 x 1
20482,Tile Round 1 x 1 with Hollow Bar,1 x 1 x 1/3
20612,"Plate Special 1 x 1 with Stud, 3 Bars and 3 Bar Holes",1 x 1 x 1/3
20952,Brick Round 1.5 x 1.5 Dome Top [Plain],5 x 1
20953,Brick Round 2 x 2 Sphere with Stud [Plain],2 x 2
21445,"Plate Special 1 x 2 with Wheel Holder, Single Slit",1 x 2 x 1/3
22385,Tile Special 2 x 3 Pentagonal,2 x 3 x 1/3
22388,Slope 45° 1 x 1 x 2/3 Quadruple Convex [Pyramid],1 x 1 x 2/3
22390,Wedge Sloped 45° 6 x 8 with Pointed Cutout,6 x 8
22391,Wedge Sloped 4 x 4 Pointed,4 x 4
22885,Brick Special 1 x 2 x 1 2/3 with 4 Studs on 1 Side,1 x 2 x 1
22886,Brick 1 x 2 x 3 with Bottom Stud Holder,1 x 2 x 3
22888,Plate Round Half 4 x 8,4 x 8 x 1/3
22890,Plate Special 1 x 2 with End Towball,1 x 2 x 1/3
2306,Slope 33° 3 x 2 with Grooves in Bottom Tubes,3 x 2
2310,Slope 45° 2 x 1 Inverted with 2/3 Cutout,2 x 1
2339,Brick Arch 1 x 5 x 4 [Continuous Bow],1 x 5 x 4
2341,Slope Inverted 45° 3 x 1 Double with 2 Completely Open Studs,3 x 1
2356,Brick 4 x 6,4 x 6
2357,Brick 2 x 2 Corner,2 x 2
2376,Tile Round 2 x 2 - Thin Lifting Ring,2 x 2 x 1/3
23949,Slope 45° 2 x 6,2 x 6
2399,Wedge 3 x 4 [No Stud Notches],3 x 4
2412,Tile Special 1 x 2 Grille without Bottom Groove,1 x 2 x 1/3
2420,Plate 2 x 2 Corner,2 x 2 x 1/3
24201,Slope Curved 2 x 1 Inverted,2 x 1
24246,Tile Round 1 x 1 Half Circle,1 x 1 x 1/3
24309,Slope Curved 3 x 2 No Studs,3 x 2
2431,Tile 1 x 4 with Groove,1 x 4 x 1/3
2432,Tile Special 1 x 2 with Handle,1 x 2 x 1/3
2434,Brick Special 2 x 4 x 2 with Studs on Sides,2 x 4 x 2
2444,Plate Special 2 x 2 with 1 Pin Hole [Split Underside Ribs],2 x 2 x 1/3
24445,Minifig Neck Connector [Tile Special 1 x 2 with Minifig Neck Pin],1 x 2 x 1/3
2445,Plate 2 x 12,2 x 12 x 1/3
2449,Slope Inverted 75° 2 x 1 x 3,2 x 1 x 3
2453,Brick 1 x 1 x 5 with Blocked Open or Hollow Stud,1 x 1 x 5
2454,Brick 1 x 2 x 5 with Blocked Open Studs and Bottom Stud Holder with Asymmetric Ridges,1 x 2 x 5
2456,Brick 2 x 6,2 x 6
2458,Brick Special 1 x 2 with Pin,1 x 2
24599,Brick Round Corner 5 x 5 x 1 with Bottom Cut Outs [No Studs] [1/4 Arch],5 x 5 x 1
2460,Tile Special 2 x 2 with Top Pin,2 x 2 x 1/3
2462,Wedge 3 x 3 Facet,3 x 3
2463,Wedge Sloped 3 x 3 x 2 Facet Top,3 x 3 x 2
2464,Wedge Sloped Inverted 3 x 3 x 2 Facet,3 x 3 x 2
2465,Brick 1 x 16,1 x 16
2476,Plate Special 2 x 2 with Pin on Bottom,2 x 2 x 1/3
24947,Brick Round 2 x 2 x 1 1/3 Inverted,2 x 2 x 1
2508,Plate Special 1 x 2 with Long Towball,1 x 2 x 1/3
25195,Plate 2 x 6 with Pole Holder Pin,2 x 6 x 1/3
25269,Tile Round 1 x 1 Quarter,1 x 1 x 1/3
2539,Plate Special 6 x 6 Octagonal with Square Hole and 4 Clips (Boat Mast Platform),6 x 6 x 1/3
2540,Plate Special 1 x 2 Side Handle [Free Ends],1 x 2 x 1/3
2555,Tile Special 1 x 1 with Clip and Straight Tips,1 x 1 x 1/3
2577,Brick Round Corner 4 x 4 Full Brick,4 x 4
25893,Plate Round 1 x 1 with Hollow Stud and Bar on Underside,1 x 1 x 1/3
26047,Plate Special 1 x 1 Rounded with Handle,1 x 1 x 1/3
26050,Brick Special 1 x 2 x 2 1/3 with Spring Unit,1 x 2 x 2
2622,Wedge Sloped Inverted 8 x 10 x 1 Boat Bow,8 x 10 x 1
2626,Wedge Sloped Inverted 6 x 6 x 1 Boat Bow,6 x 6 x 1
2628,Brick Special 8 x 8 x 2/3 with Four Recessed Edges,8 x 8 x 2/3
2629,Brick Special 8 x 16 x 2/3 with Six Recessed Edges,8 x 16 x 2/3
2639,Plate 4 x 4 Corner,4 x 4 x 1/3
2653,Brick Special 1 x 4 with Groove,1 x 4
2654,Plate Round 2 x 2 with Rounded Bottom [Boat Stud],2 x 2 x 1/3
26597,Brick Special 1 x 2 with Vertical Closed Handle Inset from Edge,1 x 2
26599,Plate Special 2 x 4 Pin Holes on Bottom Dia. 4.85,2 x 4 x 1/3
26603,Tile 2 x 3,2 x 3 x 1/3
26604,Brick Special 1 x 1 with Studs on 2 Adjacent Sides,1 x 1
27167,"Plate Special, 2 x 2 Studs and Bar (Mech Chest Plate / Armor)",2 x 2 x 1/3
27168,"Cockpit 4 x 2 x 3 with Pin Hole, 3 Towballs and 2 Clips",4 x 2 x 3 x 1/3
272,Cone 4 x 4 x 3 with Single Solid Stud,4 x 4 x 3
27255,Plate Special 6 x 6 Hexagonal with Pin Hole,6 x 6 x 1/3
27259,"Plate, Modified 1 x 2 with Large Axe Head",1 x 2 x 1/3
27261,Plate Special 2 x 3 with Rocks,2 x 3 x 1/3
27263,Tile Special 2 x 2 Corner with Cut Corner - Facet,2 x 2 x 1/3
27266,Brick Round 2 x 2 Special with Spikes,2 x 2
2730,Technic Brick 1 x 10 [9 Pin Holes],1 x 10
2744,Technic Slope Long 1 x 6 with 3 Pin Holes,1 x 6
27507,"Tile 4 x 4 Curved, Macaroni",4 x 4 x 1/3
27925,"Tile 2 x 2 Curved, Macaroni",2 x 2 x 1/3
27976,Slide Straight 4 x 6 x 6,4 x 6 x 6
2817,Plate Special 2 x 2 with 2 Pin Holes,2 x 2 x 1/3
