part_num,name,dimensions
3688,Slope 75° 2 x 2 x 2 Quadruple Convex,2 x 2 x 2
3700,Technic Brick 1 x 2 [1 Pin Hole],1 x 2
3701,Technic Brick 1 x 4 [3 Pin Holes],1 x 4
3702,Technic Brick 1 x 8 [7 Pin Holes],1 x 8
3703,Technic Brick 1 x 16 [15 Pin Holes],1 x 16
3709,Technic Plate 2 x 4 [3 Holes],2 x 4 x 1/3
3710,Plate 1 x 4,1 x 4 x 1/3
3730,"Plate Special 2 x 2 with Towball Socket, Short, 4 Slots",2 x 2 x 1/3
3731,Plate 2 x 2 with Towball,2 x 2 x 1/3
37352,Brick Curved 1 x 2 x 1 No Studs,1 x 2 x 1
3738,Technic Plate 2 x 8 [7 Holes],2 x 8 x 1/3
37452,Brick Special 1 x 2 x 2 with Photo Clip,1 x 2 x 2
3747,Slope Inverted 33° 3 x 2 [No Connections between Studs],3 x 2
3754,Brick 1 x 6 x 5,1 x 6 x 5
3755,Brick 1 x 3 x 5 without Side Supports,1 x 3 x 5
3766,Plate Round 4 x 6,4 x 6 x 1/3
3794,Plate Special 1 x 2 with 1 Stud without Groove (Jumper),1 x 2 x 1/3
3795,Plate 2 x 6,2 x 6 x 1/3
38317,Cone Half 2 x 4 x 3,2 x 4 x 3
3832,Plate 2 x 10,2 x 10 x 1/3
3839,"Plate Special 1 x 2 with Handles [Round Ends, Mid Attachment]",1 x 2 x 1/3
38583,Brick Special Arch 1 x 2 Jumper,1 x 2
38585,Brick Special Arch 1 1/2 x 1 1/2 Corner,1/2 x 1
3894,Technic Brick 1 x 6 [5 Pin Holes],1 x 6
3895,Technic Brick 1 x 12 [11 Pin Holes],1 x 12
39268,Brick 1 x 5 x 2,1 x 5 x 2
3939,Slope 33° 3 x 6,3 x 6
3941,Brick Round 2 x 2 with Axle Hole,2 x 2
3942,Cone 2 x 2 x 2 [Undetermined Stud Type],2 x 2 x 2
3943,Cone 4 x 4 x 2 [No Axle Hole],4 x 4 x 2
3958,Plate 6 x 6,6 x 6 x 1/3
3960,Dish 4 x 4 Inverted [Radar],4 x 4 x 1/3
3961,Dish 8 x 8 Inverted [Radar],8 x 8 x 1/3
39611,Plate Special 5-Point Star 4 x 4 2/3 with One Stud,4 x 4 x 1/3
39739,Tile 1 x 1 Heart,1 x 1 x 1/3
39767,Plate Special 2 x 2 with Wheels Holder Wide [Reinforced Underside Type 2],2 x 2 x 1/3
39789,Brick Special 2 x 4 with 3 Axle Holes,2 x 4
4025,Tile Special 6 x 4 with Beveled Edges and 5mm Pin (Train Bogie Plate),6 x 4 x 1/3
4032,Plate Round 2 x 2 with Axle Hole Type 1 (+ Opening),2 x 2 x 1/3
4045,"Brick Curved 1 x 4 x 1, Curved Sides",1 x 4 x 1
40687,"Plate Special 2 x 4 with Pins, Reinforced",2 x 4 x 1/3
4070,Brick Special 1 x 1 with Headlight and No Slot,1 x 1
4081,Plate Special 1 x 1 with Clip Light [Thin Ring],1 x 1 x 1/3
4085,Plate Special 1 x 1 with Clip Vertical [Thin Open O Clip],1 x 1 x 1/3
4088,Brick Curved 1 x 4 x 2 Centre Stud Top [aka Fabuland Radiator],1 x 4 x 2
4092,Tile Special 6 x 4 with Beveled Edges and 7mm Pin (Train Bogie Plate),6 x 4 x 1/3
40996,Brick Curved 1 x 4 with Sloped Ends and Two Top Studs,1 x 4
41324,Brick Special 1 x 4 x 6 with Flywheel Socket (Helicopter),1 x 4 x 6
4150,Tile Round 2 x 2 with Bottom Cross,2 x 2 x 1/3
4151,Plate Special 8 x 8 with Grille [Undetermined Center],8 x 8 x 1/3
41539,Plate 8 x 8,8 x 8 x 1/3
4161,Slope 33° 3 x 3,3 x 3
4162,Tile 1 x 8 with Groove,1 x 8 x 1/3
41685,Plate Special 2 x 2 with Pixelated Trans-Orange Flames Pattern,2 x 2 x 1/3
41740,Plate Special 1 x 4 with 2 Studs with Groove [New Underside],1 x 4 x 1/3
41747,Wedge Curved 6 x 2 Right,6 x 2
41748,Wedge Curved 6 x 2 Left,6 x 2
41749,Wedge Curved 8 x 3 x 2 Open Right,8 x 3 x 2
4175,Plate Special 1 x 2 with Ladder,1 x 2 x 1/3
41750,Wedge Curved 8 x 3 x 2 Open Left,8 x 3 x 2
41764,Wedge Curved Inverted 6 x 2 Right,6 x 2
41765,Wedge Curved Inverted 6 x 2 Left,6 x 2
41766,Brick Curved 8 x 2 x 2,8 x 2 x 2
41767,Wedge 4 x 2 Right,4 x 2
41768,Wedge 4 x 2 Left,4 x 2
41819,Sports Field Section 8 x 16 with Horizontal Slot,8 x 16 x 1/3
41855,Brick Curved 2 x 2 x 2/3 Two Studs and Lip End,2 x 2 x 2/3
41862,Plate Special 2 x 2 with Grills,2 x 2 x 1/3
4190,"Plate Special 2 x 2 with Double Inverted Curve, 1 Stud",2 x 2 x 1/3
41948,Plate 8 x 8 with Rounded End,8 x 8 x 1/3
4201,Brick 8 x 8,8 x 8
4202,Brick 4 x 12,4 x 12
42021,Wedge Curved Inverted 8 x 6 x 2 Cockpit,8 x 6 x 2
42022,Brick Curved 6 x 1,6 x 1
42023,Brick Curved 6 x 1 Inverted,6 x 1
4204,Brick 8 x 16,8 x 16
42060,Wedge Curved 12 x 3 Right,12 x 3
42061,Wedge Curved 12 x 3 Left,12 x 3
4216,Brick Special 1 x 2 with Groove,1 x 2
4217,Brick Special 1 x 14 Grooved,1 x 14
422,Plate Modified 2 x 2 with Small Holes for Metal Axle,2 x 2 x 1/3
4228,Slope Inverted 33° 5 x 6 x 2,5 x 6 x 2
42484,Brick Round Corner 12 x 12 with 3 Missing Bottom Tubes,12 x 12
42608,"Plate Special 2 x 4 Thin 4 Holes, Struts and 2 Pins [Undercarriage]",2 x 4 x 1/3
42609,Wedge Plate 16 x 16 x 1 with 4 Pins,16 x 16 x 1 x 1/3
4282,Plate 2 x 16,2 x 16 x 1/3
4285,"Dish 6 x 6 Inverted, Radar / Webbed [No Anti-studs]",6 x 6 x 1/3
4286,Slope 33° 3 x 1,3 x 1
42862,Wedge Sloped 45° 3 x 3 Left,3 x 3
42863,Wedge Sloped Inverted 16 x 4 x 1 1/3 Cockpit,16 x 4 x 1
4287,Slope Inverted 34° 3 x 1 without Internal Stopper,3 x 1
42918,Slope Curved 8 x 2 No Studs,8 x 2
42901,"Brick Special, 2 x 4, Train Sliding Wheel Holder Brick",2 x 4
43708,Wedge Sloped 18° 4 x 4 Corner,4 x 4
43710,Wedge Sloped 4 x 2 Triple Left,4 x 2
43711,Wedge Sloped 4 x 2 Triple Right,4 x 2
43712,Wedge Curved 6 x 4 Triple,6 x 4
43713,Wedge Curved Inverted 6 x 4,6 x 4
43720,Wedge Sloped 45° 4 x 2 Right,4 x 2
43721,Wedge Sloped 45° 4 x 2 Left,4 x 2
43898,Dish 3 x 3 Inverted [Radar],3 x 3 x 1/3
43979,Wedge Plate Special 12 x 12,12 x 12 x 1/3
44126,Brick Curved 6 x 2,6 x 2
44359,Dome Hemisphere 3 x 3 Ball Turret,3 x 3
44375,Dish 6 x 6 Inverted (Radar) with Hollow Studs,6 x 6 x 1/3
4445,Slope 45° 2 x 8,2 x 8
44511,Tower Roof 8 x 12 x 10 Onion Dome,8 x 12 x 10
4460,Slope 75° 2 x 1 x 3 with Open Stud,2 x 1 x 3
44665,Brick Special 4 x 12 x 4 - Plane Bottom,4 x 12 x 4
44675,Slope Curved 2 x 2 No Studs - 3 Recessed Side Ports,2 x 2
4477,Plate 1 x 10,1 x 10 x 1/3
44861,Plate Special 1 x 2 [Open O Top Clip],1 x 2 x 1/3
44865,Brick Special 1 x 2 with Pin - Bottom Stud Holder,1 x 2
4488,Plate Special 2 x 2 with Wheel Holder,2 x 2 x 1/3
4490,Brick Arch 1 x 3,1 x 3
45,Tile 1 x 2 with Ball,1 x 2 x 1/3
4509,Slope 33° 6 x 6 Double (Train Roof),6 x 6
4510,Plate Special 1 x 8 with Door Rail,1 x 8 x 1/3
4515,Slope 10° 6 x 8,6 x 8
45301,Wedge Curved 16 x 4 Triple,16 x 4
45405,Roof Piece 16 x 4 x 5,16 x 4 x 5
45410,Slope Curved 8 x 6 x 2 Inverted Double,8 x 6 x 2
45411,Slope Curved 8 x 6 x 2 Double,8 x 6 x 2
45677,Slope Curved 4 x 4 x 2/3 Triple Curved with 2 Studs,4 x 4 x 2/3
4588,"Brick Round 1 x 1 with Fins, Open Stud",1 x 1
4589,Cone 1 x 1 [No Top Groove],1 x 1
4590,Plate Special 1 x 4 Offset,1 x 4 x 1/3
4591,Brick Round 2 x 2 x 2 with Axle Hole and Fins,2 x 2 x 2
4595,Brick Special 1 x 2 x 2/3 with Studs on Sides,1 x 2 x 2/3
4596,Plate Special 1 x 2 with Long Stud Receptacle (Space Wing),1 x 2 x 1/3
4600,Plate Special 2 x 2 with Wheel Holders,2 x 2 x 1/3
4607,Plate Special 4 x 16 with 24 studs,4 x 16 x 1/3
46212,Brick 1 x 2 x 5 without Side Supports,1 x 2 x 5
4623,Plate Special 1 x 2 with Arm Up [Horizontal Arm 6mm],1 x 2 x 1/3
47116,Brick Special 12 x 24 with 4 Corner Pegs,12 x 24
47117,Brick Special 2 x 2 with Grooves and Top Peg,2 x 2
47122,Brick Special 2 x 24 with 2 End Pegs,2 x 24
4729,"Brick Special 2 x 2 No Studs, Top Pin",2 x 2
4730,Brick Special 2 x 2 with Pin and No Axle Hole,2 x 2
4732,Bracket 8 x 2 x 1 1/3,8 x 2 x 1 x 1/3
4733,Brick Special 1 x 1 Studs on 4 Sides,1 x 1
47376,Brick Round Corner 12 x 12 with 3 Support Pegs,12 x 12
4740,Dish 2 x 2 Inverted [Radar],2 x 2 x 1/3
47406,Wedge Curved Inverted 10 x 6 x 2 Cockpit,10 x 6 x 2
4742,Cone 4 x 4 x 2 Hollow No Studs,4 x 4 x 2
4743,Brick Arch 2 x 8 x 3,2 x 8 x 3
4744,Brick Curved 2 x 4 x 2 Double Curved Top [Plain],2 x 4 x 2
47456,"Wedge Curved 2 x 3 x 2/3 Two Studs, Wing End",2 x 3 x 2/3
47457,Brick Curved 2 x 2 x 2/3 Two Studs and Curved Slope End,2 x 2 x 2/3
47458,"Wedge Curved 1 x 2 x 2/3 No Studs, Wing End",1 x 2 x 2/3
4747,"Brick Special 2 x 4 with Coupling, Male",2 x 4
4748,"Brick Special 2 x 4 with Coupling, Female",2 x 4
47543,Cone Half 8 x 4 x 6,8 x 4 x 6
4770,Brick Round 1 x 1 x 2/3 Light Bulb Cover,1 x 1 x 2/3
47720,Plate Special 2 x 2 with Wheels Holder Wide - Technic Pins,2 x 2 x 1/3
47753,Wedge Curved 4 x 4 No Top Studs,4 x 4
47757,Wedge Sloped 4 x 4 Pyramid Center,4 x 4
47759,Wedge Sloped 45° 2 x 4 Triple,2 x 4
47846,Brick Curved 10 x 4 x 2 Cockpit,10 x 4 x 2
47855,Brick Special 2 x 12 with 2 End Pegs,2 x 12
47905,Brick Special 1 x 1 with Studs on 2 Sides,1 x 1
47974,Brick Round Corner 4 x 8 Full Brick Double,4 x 8
47976,Brick Special 12 x 12 with 3 Pin Holes on Each Side and Vertical Peg at Each Corner,12 x 12
47993,Boat Deck Brick 8 x 3 x 4 Railing,8 x 3 x 4
47998,Plate Special 4 x 4 with Clips Horizontal,4 x 4 x 1/3
48092,Brick Round Corner 4 x 4 Macaroni Wide with 3 Studs,4 x 4
48165,Wedge Sloped 45° 3 x 3 Right,3 x 3
48288,Tile 8 x 16 with Bottom Tubes on Edges,8 x 16 x 1/3
48336,Plate Special 1 x 2 [Side Handle Closed Ends],1 x 2 x 1/3
4854,Slope Inverted 45° 4 x 4 Double,4 x 4
4855,Wedge Sloped Inverted 4 x 4 Triple [2 Connections between Front Studs],4 x 4
4856,Wedge Sloped Inverted 6 x 4 with 2 Stud Connections,6 x 4
4858,Wedge Sloped 4 x 4 Taper,4 x 4
4861,Slope 45° 3 x 4 Double / 33°,3 x 4
4871,Slope Inverted 45° 4 x 2 Double,4 x 2
48933,"Wedge Sloped 4 x 4 Triple, Stud Notches",4 x 4
48995,Tile Special 3 x 2 with Hole,3 x 2 x 1/3
49153,Tile Special 2 x 2 with Top Pin [Squared Holes],2 x 2 x 1/3
4920,Brick Special 1 x 2 with Rotation Joint Pin,1 x 2
49307,"Brick Curved 1 x 1 x 2/3 Double Curved Top, No Studs",1 x 1 x 2/3
49308,Brick Round 3 x 3 Dome with Center Stud,3 x 3
49309,Cone 2 x 2 x 2 Inverted,2 x 2 x 2
49311,Brick 1 x 4 x 3,1 x 4 x 3
49523,"Brick Curved 2 x 4 with Heavily Curved Ends, Shoulder Pad Design with Two Studs on the Outside",2 x 4
49612,Brick Round Corner 4 x 4 x 3 Dome Top,4 x 4 x 3
49618,Slope 25° 1 x 8 x 3,1 x 8 x 3
49668,Plate Special 1 x 1 with Tooth,1 x 1 x 1/3
49699,Brick 1 x 6 x 4 with 4 Pinholes and Cutout,1 x 6 x 4
4974,Tile 8 x 16 with Smooth Surface,8 x 16 x 1/3
49757,"Key Chain, Chrome Chain and Ring with 2 x 4 Brick",2 x 4
50373,Wedge 3 x 4 [Stud Notches],3 x 4
5066,Plate Special 2 x 2 with Horizontal T-Bar Underneath,2 x 2 x 1/3
50855,"Brick, Soft 2 x 4 with Curved Top",2 x 4
50948,"Wedge Curved 4 x 3 Cut Back with Cutout, Two Studs [Plain]",4 x 3
50950,Slope Curved 3 x 1 No Studs,3 x 1
50955,Wedge Curved 10 x 3 Left,10 x 3
50956,Wedge Curved 10 x 3 Right,10 x 3
50967,Brick Arch 8 x 1 x 1 2/3 Curved,8 x 1 x 1
50990,Dish 10 x 10 Inverted (Radar) with Hollow Studs,10 x 10 x 1/3
5117,Slope Inverted 45° 6 x 8 Double with Pin Holes on Sides,6 x 8
5118,Aircraft Fuselage 6 x 8 Bottom with 4 Pin Holes,6 x 8
5121,Aircraft Fuselage 6 x 8 Top,6 x 8
5152,Brick Round Corner 3 x 3 Macaroni with 2 Studs,3 x 3
5174,Brick Curved Double 2 x 4 Inverted,2 x 4
52031,Slope Curved 4 x 6 x 2/3 Triple Curved with 4 Studs,4 x 6 x 2/3
52040,Brick Special 12 x 12 with 3 Pin Holes on each Side and Axle Holes in Corners,12 x 12
52107,Brick Special 1 x 2 with Studs on 2 Sides,1 x 2
53119,Plate Round 1 x 1 Swirled Top / Poo,1 x 1 x 1/3
53540,"Brick Special 1 x 2 with 2 Pins, Square Pin Holes",1 x 2
54091,Slope Curved 8 x 8 x 2 Inverted Double,8 x 8 x 2
54095,Slope Curved 8 x 8 x 2 Double,8 x 8 x 2
54200,Slope 30° 1 x 1 x 2/3 (Cheese Slope),1 x 1 x 2/3
5489,Brick Round 2 x 2 D. Tube with 45° Elbow and Axle Holes (Crossholes) at Each End [LONG],2 x 2
57587,Brick Round 7 x 7 x 4 Dome Top,7 x 7 x 4
58181,Slope 33° 3 x 6 No Inner Walls,3 x 6
58846,"Brick Round Corner 10 x 10 with Slope 33° Edge, Axle Hole, Facet Cutout",10 x 10
58947,"Cylinder 9 x 4 x 2 Tapered with Flat Bottom, Pin Holes",9 x 4 x 2
59900,Cone 1 x 1 [Top Groove],1 x 1
6003,Plate Round Corner 6 x 6,6 x 6 x 1/3
6005,Brick Arch 1 x 3 x 2 Curved Top,1 x 3 x 2
60189,Braille Brick 2 x 4 with 1 Stud ⠁,2 x 4
6019,Plate Special 1 x 1 with Clip Horizontal [Thick U Clip],1 x 1 x 1/3
60190,Braille Brick 2 x 4 with 2 Studs ⠃,2 x 4
60191,Braille Brick 2 x 4 with 2 Studs ⠉,2 x 4
60192,Braille Brick 2 x 4 with 3 Studs ⠙,2 x 4
60207,Braille Brick 2 x 4 with 2 Studs ⠑,2 x 4
60220,Braille Brick 2 x 4 with 3 Studs ⠋,2 x 4
60221,Braille Brick 2 x 4 with 4 Studs ⠛,2 x 4
60222,Braille Brick 2 x 4 with 3 Studs ⠓,2 x 4
60223,Braille Brick 2 x 4 with 2 Studs ⠊,2 x 4
60224,Braille Brick 2 x 4 with 3 Studs ⠚,2 x 4
60225,Braille Brick 2 x 4 with 2 Studs ⠅,2 x 4
60226,Braille Brick 2 x 4 with 3 Studs ⠇,2 x 4
60227,Braille Brick 2 x 4 with 3 Studs ⠍,2 x 4
60228,Braille Brick 2 x 4 with 4 Studs ⠝,2 x 4
60229,Braille Brick 2 x 4 with 3 Studs ⠕,2 x 4
60230,Braille Brick 2 x 4 with 4 Studs ⠏,2 x 4
60231,Braille Brick 2 x 4 with 5 Studs ⠟,2 x 4
60232,Braille Brick 2 x 4 with 4 Studs ⠗,2 x 4
60233,Braille Brick 2 x 4 with 3 Studs ⠎,2 x 4
60234,Braille Brick 2 x 4 with 4 Studs ⠞,2 x 4
60235,Braille Brick 2 x 4 with 3 Studs ⠖,2 x 4
60237,Braille Brick 2 x 4 with 2 Studs ⠌,2 x 4
60238,Braille Brick 2 x 4 with 3 Studs ⠥,2 x 4
60239,Braille Brick 2 x 4 with 4 Studs ⠧,2 x 4
60240,Braille Brick 2 x 4 with 4 Studs ⠭,2 x 4
60243,Braille Brick 2 x 4 with 5 Studs ⠽,2 x 4
60244,Braille Brick 2 x 4 with 4 Studs ⠵,2 x 4
60289,Braille Brick 2 x 4 with 5 Studs ⠯,2 x 4
60290,Braille Brick 2 x 4 with 6 Studs ⠿,2 x 4
60291,Braille Brick 2 x 4 with 5 Studs ⠷,2 x 4
60292,Braille Brick 2 x 4 with 4 Studs ⠮,2 x 4
60293,Braille Brick 2 x 4 with 5 Studs ⠾,2 x 4
60294,Braille Brick 2 x 4 with 4 Studs ⠶,2 x 4
60295,Braille Brick 2 x 4 with 4 Studs ⠼,2 x 4
60297,Braille Brick 2 x 4 with 2 Studs ⠤,2 x 4
60305,Braille Brick 2 x 4 with 2 Studs ⠡,2 x 4
60311,Braille Brick 2 x 4 with 3 Studs ⠣,2 x 4
60312,Braille Brick 2 x 4 with 3 Studs ⠩,2 x 4
6032,Brick Special Octagonal 2 x 3 x 1 2/3 Sloped,2 x 3 x 1
60329,Braille Brick 2 x 4 with 4 Studs ⠹,2 x 4
60330,Braille Brick 2 x 4 with 3 Studs ⠱,2 x 4
60331,Braille Brick 2 x 4 with 4 Studs ⠫,2 x 4
60332,Braille Brick 2 x 4 with 5 Studs ⠻,2 x 4
6037,Brick Special Octagonal 2 x 2 x 3 1/3,2 x 2 x 3
6039,"Cone 2 x 2 x 1 2/3 Octagonal, Open Stud",2 x 2 x 1
6042,Brick Special Octagonal 2 x 2 x 3 1/3 with Side Studs,2 x 2 x 3
6043,Brick Special Octagonal 2 x 2 x 3 1/3 Corner,2 x 2 x 3
6044,Slope 53° 3 x 1 x 3 1/3 with Studs on Slope,3 x 1 x 3
60470,Plate Special 1 x 2 with Clips Horizontal [Thick U-Clips],1 x 2 x 1/3
60474,Plate Round 4 x 4 with Pin Hole,4 x 4 x 1/3
60475,"Brick Special 1 x 1 with Clip Vertical [Thick U Clip, Solid Stud]",1 x 1
60476,Brick Special 1 x 1 with Clip Horizontal,1 x 1
60477,Slope 18° 4 x 1,4 x 1
60478,Plate Special 1 x 2 with Handle on End [Closed Ends],1 x 2 x 1/3
60479,Plate 1 x 12,1 x 12 x 1/3
60481,Slope 65° 2 x 1 x 2,2 x 1 x 2
6056,Brick Special 2 x 2 x 6 with Groove,2 x 2 x 6
6058,Wedge Sloped Inverted 11 x 4 x 2 2/3 Cockpit,11 x 4 x 2
60583,"Brick Special 1 x 1 x 3 with 2 Clips Vertical [Solid Stud, Thick U Clips]",1 x 1 x 3
6060,Brick Arch 1 x 6 x 3 1/3 Curved Top,1 x 6 x 3
6061,Brick 2 x 4 x 2 with Holes on Sides without Struts,2 x 4 x 2
6063,Plate Special 10 x 10 Octagonal Opening,10 x 10 x 1/3
6069,"Wedge Sloped 4 x 4 Triple, No Stud Notches",4 x 4
6081,Brick Curved 2 x 4 x 1 1/3 with Curved Top,2 x 4 x 1
6087,Bracket 5 x 2 x 2 1/3,5 x 2 x 2 x 1/3
60897,Plate Special 1 x 1 with Clip Vertical [Thick Open O Clip],1 x 1 x 1/3
6091,Brick Curved 1 x 2 x 1 1/3 with Curved Top,1 x 2 x 1
61068,Slope Brick Curved 2 x 4 x 2/3 No Studs [No Bottom Tubes],2 x 4 x 2/3
6107,Wedge 5 x 5 Facet,5 x 5
61072,Plate Special 1 x 4 with Angled Tubes,1 x 4 x 1/3
6108,Brick Arch 1 x 12 x 3,1 x 12 x 3
6111,Brick 1 x 10,1 x 10
6112,Brick 1 x 12,1 x 12
61252,Plate Special 1 x 1 with Clip Horizontal [Thick Open O Clip],1 x 1 x 1/3
61287,Dome Hemisphere 2 x 2 with Cutout,2 x 2
61406,Plate Special 1 x 2 with Angular Extension and Flexible Tip [Plain],1 x 2 x 1/3
61409,Slope 18° 2 x 1 x 2/3 with 4 Slots,2 x 1 x 2/3
6141,Plate Round 1 x 1 with Solid Stud,1 x 1 x 1/3
61487,Slope Curved 4 x 4 x 2 with Holes,4 x 4 x 2
6153,"Wedge Sloped 6 x 4 Cutout, No Stud Notches",6 x 4
6157,Plate Special 2 x 2 with Wheels Holder Wide,2 x 2 x 1/3
6162,Brick Round Corner 12 x 12,12 x 12
61678,Slope Curved 4 x 1 No Studs [Stud Holder with Asymmetric Ridges],4 x 1
6178,Plate Special 6 x 12 with Studs on 3 Edges,6 x 12 x 1/3
6179,Plate Special 4 x 4 with Studs on One Edge [Plain],4 x 4 x 1/3
6180,Plate Special 4 x 6 with Studs on 3 Edges,4 x 6 x 1/3
6182,Brick Arch 1 x 4 x 2,1 x 4 x 2
6183,Brick Arch 1 x 6 x 2 Curved Top,1 x 6 x 2
6184,Brick Arch 1 x 12 x 5 Curved Top,1 x 12 x 5
6191,"Brick Curved 1 x 4 x 1 1/3 No Studs, Curved Top",1 x 4 x 1
6192,"Brick Curved 2 x 4 No Studs, Curved Top, without Groove",2 x 4
6205,Plate Special 6 x 16 with Studs on 3 Edges,6 x 16 x 1/3
6212,Brick 4 x 10,4 x 10
6213,Brick 2 x 6 x 3,2 x 6 x 3
6214,Brick Curved 2 x 8 x 4 with Triple Curved Ends,2 x 8 x 4
6215,Brick Curved 2 x 3 with Curved Top,2 x 3
6216,"Brick Curved 2 x 4 x 2 No Studs, Triple Curved Top",2 x 4 x 2
6222,Brick Round 4 x 4 with 4 Side Pin Holes and Center Axle Hole,4 x 4
6223,Brick 2 x 2 without Inside Ridges,2 x 2
6232,Brick Special 2 x 2 with Pin and Axle Hole,2 x 2
6233,Cone 3 x 3 x 2,3 x 3 x 2
6249,Brick Special 2 x 4 with Pins,2 x 4
6259,Cylinder Half 2 x 4 x 4,2 x 4 x 4
62743,Plate Special 2 x 16 with Angled Side Extensions and Hole (Rotor Blade),2 x 16 x 1/3
63082,"Plate Special 2 x 2 with Towball Socket, Short, Flattened with Holes and Axle Hole in Center",2 x 2 x 1/3
631448,Plate Special 10 x 13 Cutout with Adhesive Backside,10 x 13 x 1/3
63864,Tile 1 x 3,1 x 3 x 1/3
63868,Plate Special 1 x 2 with Clip Horizontal on End,1 x 2 x 1/3
64225,Wedge Curved 4 x 3 No Studs [Plain],4 x 3
64867,Wedge 4 x 4 Fractured Polygon Top,4 x 4
65068,"Plate Special 6 x 8 x 1 with Bar, Door",6 x 8 x 1 x 1/3
65138,Dish 4 x 4 with 4 Studs,4 x 4 x 1/3
65140,Plate Round Corners 8 x 8,8 x 8 x 1/3
65186,"Brick Special 4 x 10 x 1 With 2 Wedges, Pin Holes",4 x 10 x 1
65196,Plate Special Book 11 x 16,11 x 16 x 1/3
65200,Plate Special Book Cover Back 6 x 16,6 x 16 x 1/3
6541,Technic Brick 1 x 1 with Pin Hole,1 x 1
65473,Brick Round 2 x 2 D. Tube with 45° Elbow and Axle Holes (Crossholes) at Each End [SHORT],2 x 2
65474,Tile 6 x 8 with Rounded Corners,6 x 8 x 1/3
65509,Plate Special 2 x 4 with Groove and Two Center Studs (Jumper),2 x 4 x 1/3
65547,Braille Brick 2 x 4 with 4 Studs ⠳,2 x 4
65548,Braille Brick 2 x 4 with 3 Studs ⠪,2 x 4
65549,Braille Brick 2 x 4 with 4 Studs ⠺,2 x 4
65550,Braille Brick 2 x 4 with 3 Studs ⠲,2 x 4
65551,Braille Brick 2 x 4 with 1 Stud ⠄,2 x 4
65552,Braille Brick 2 x 4 with 1 Stud ⠂,2 x 4
65555,Braille Brick 2 x 4 with 3 Studs ⠦,2 x 4
65556,Braille Brick 2 x 4 with 2 Studs ⠨,2 x 4
65557,Braille Brick 2 x 4 with 1 Studs ⠠,2 x 4
65558,Braille Brick 2 x 4 with 2 Studs ⠒,2 x 4
65559,Braille Brick 2 x 4 with 1 Stud ⠐,2 x 4
65563,Braille Brick 2 x 4 with 2 Studs ⠔,2 x 4
65617,Brick Round Corner 3 x 3 x 1 with Bottom Cut Outs [No Studs] [1/4 Arch],3 x 3 x 1
6564,Wedge 3 x 2 Right,3 x 2
6565,Wedge 3 x 2 Left,3 x 2
65700,Plate Special Round 2 x 2 with Melting Drops on Sides,2 x 2 x 1/3
65702,Plate Special Round 4 x 4 with Melting Drops on Sides,4 x 4 x 1/3
65734,Brick Curved 1 x 4 x 3,1 x 4 x 3
6576,Plate Special 4 x 8 with Studs in Centre,4 x 8 x 1/3
65803,Brick Special 16 x 16 x 1 1/3 with Pinholes,16 x 16 x 1
65886,Tile Special 2 x 3 with 2 Clips without Tab between Clips,2 x 3 x 1/3
66252,Plate Special 4 x 4 with Studs on Edges and Clips Horizontal,4 x 4 x 1/3
6636,Tile 1 x 6 with Groove,1 x 6 x 1/3
66787,Pipe 6 x 6 (Warp Pipe),6 x 6
66855,Brick Special Cube with 2 x 2 Studs on Top [Plain],2 x 2
66857,Tile Round 2 x 4,2 x 4 x 1/3
66897,"Plate Special 1 x 2 with Wheel Holder, Reinforced Underside",1 x 2 x 1/3
66956,Slope Curved 2 x 2 with Stud Notches,2 x 2
66961,Plate Special 2 x 2 with 4 Side Handles Closed Ends,2 x 2 x 1/3
67013,Wedge Sloped 4 x 4 with White Underside Pattern (Koopa Troopa Shell),4 x 4
67075,Plate Special Swing 6 x 2 x 5 1/3,6 x 2 x 5 x 1/3
67095,Tile Round 3 x 3,3 x 3 x 1/3
67211,"Tile 1 x 1, Random DOTS Series 2 Print",1 x 1 x 1/3
67216,"Tile Round 1 x 1, Random DOTS Mega Pack 1 Print",1 x 1 x 1/3
67217,"Tile Round 1 x 1, Random DOTS Mega Pack 2 Print",1 x 1 x 1/3
67222,Tile Round 1 x 1 Random DOTS Series 1 Print,1 x 1 x 1/3
67329,Brick Special 1 x 2 x 1 2/3 with 8 Studs on 3 Sides,1 x 2 x 1
67401,Tile 2 x 2 Pack for 40503-1,2 x 2 x 1/3
67440,Slope Inverted 60° 1 x 4 x 3,1 x 4 x 3
67687,Plate Special 2 x 2 with Wheel Holders with Cross (+) Slots on Pins,2 x 2 x 1/3
67688,Plate Special 2 x 2 with Wheel Holder with Widened Center Pin,2 x 2 x 1/3
678,Homemaker Awning 2 x 6,2 x 6
67810,Brick Curved 2 x 2 x 1 1/3 with Curved Top - Corner,2 x 2 x 1
67931,Wedge Sloped 4 x 4 with Diamond Spikes with White Underside Pattern,4 x 4
67950,Cylinder Half 3 x 6 x 6 Closed on Top with 2 Studs,3 x 6 x 6
68013,"Brick Round, Half 1 x 2",1 x 2
68325,Brick Round 4 x 4 with Recessed Center,4 x 4
68382,Plate 1 x 4 with 2 Bottom Pins,1 x 4 x 1/3
6881,Tile 6 x 6 without Bottom Tubes,6 x 6 x 1/3
68881,Dish Round 5 x 10 x 1 2 / 3 Half Circle Curved,5 x 10 x 1 x 1/3
69182,"Die - 6 Sided with 3 x 3 Centre Studs, and Ring (DOTS)",3 x 3
