Quantities,PartID
11,18674
14,3623
12,41769
16,44728
81,11477
18,63965
30,99780
14,63864
12,41770
12,4510
14,3666
18,4081
19,29120
12,24201
21,47905
11,3456
73,33291
12,3032
11,48336
14,3795
41,3003
16,3023
41,98138
31,99563
19,29119
16,15672
15,99207
14,3024
18,3021
11,3679
41,32952
14,3673
19,98313
15,3022
77,85861
17,21459
14,27263
12,3036
11,87994
11,3069
41,11458
14,4282
14,3068
12,75937
