Set Type,Set Name,Set URL,Total Needed,Cost,PValue,Parts Possessed,Parts Required,Substitutions
MOC SETS,neeraj, https://rebrickable.com/mocs/MOC-154837/CustomBricks.de/custom-lego-10317-rc-conversion-instructions/?spot=newest,0,$0.00,1.0,"[['10021', '1'], ['10009', '2'], ['10003', '2'], ['34165', '1'], ['10021', '1'], ['10024', '1'], ['20003', '1'], ['10009', '1'], ['34165', '1'], ['10000', '1'], ['10011', '1'], ['10000', '1'], ['10011', '1']]",[],"[['99966', '2 x 12 x 1/3', [['10021', '1 x 2 x 1/3', '1'], ['10009', '1 x 6 x 1/3', '2'], ['10003', '1 x 1 x 1/3', '2'], ['34165', '2 x 4 x 1/3', '1']]], ['99966', '2 x 12 x 1/3', [['10021', '1 x 2 x 1/3', '1'], ['10024', '1 x 5 x 1/3', '1'], ['20003', '1 x 3 x 1/3', '1'], ['10009', '1 x 6 x 1/3', '1'], ['34165', '2 x 4 x 1/3', '1']]], ['33333', '2 x 4', [['10000', '2 x 3', '1'], ['10011', '1 x 2', '1']]], ['33333', '2 x 4', [['10000', '2 x 3', '1'], ['10011', '1 x 2', '1']]]]"
OFFICIAL SETS,taco stand,https://rebrickable.com/sets/5007866-1/taco-stand/?inventory=1,11,$2.09,0.43859649122807015,"[['98138', '56'], ['3023', '23'], ['85861', '20'], ['3069', '6'], ['3003', '24'], ['63864', '8'], ['3022', '2'], ['3068', '10'], ['11458', '41'], ['3666', '14'], ['3021', '7'], ['3623', '14'], ['4510', '1'], ['3024', '14'], ['4081', '10'], ['18674', '1'], ['3795', '1'], ['47905', '4']]","[['34173', '2'], ['64225', '1'], ['30046', '1'], ['30374', '1'], ['6182', '1'], ['15254', '2'], ['34172', '2'], ['30044', '1']]","[['11211', '1 x 2', [['11458', '1 x 2 x 1/3', '3']]], ['11211', '1 x 2', [['11458', '1 x 2 x 1/3', '3']]], ['11211', '1 x 2', [['11458', '1 x 2 x 1/3', '3']]], ['11211', '1 x 2', [['11458', '1 x 2 x 1/3', '3']]], ['11211', '1 x 2', [['11458', '1 x 2 x 1/3', '3']]], ['11211', '1 x 2', [['11458', '1 x 2 x 1/3', '3']]], ['41539', '8 x 8 x 1/3', [['3666', '1 x 6 x 1/3', '4'], ['3021', '2 x 3 x 1/3', '1'], ['3623', '1 x 3 x 1/3', '6'], ['4510', '1 x 8 x 1/3', '1'], ['3024', '1 x 1 x 1/3', '8']]], ['3004', '1 x 2', [['11458', '1 x 2 x 1/3', '3']]], ['3004', '1 x 2', [['11458', '1 x 2 x 1/3', '3']]], ['3004', '1 x 2', [['11458', '1 x 2 x 1/3', '3']]], ['15573', '1 x 2 x 1/3', [['11458', '1 x 2 x 1/3', '1']]], ['3010', '1 x 4', [['3623', '1 x 3 x 1/3', '3'], ['3024', '1 x 1 x 1/3', '3']]], ['3010', '1 x 4', [['3623', '1 x 3 x 1/3', '3'], ['3024', '1 x 1 x 1/3', '3']]], ['3010', '1 x 4', [['4081', '1 x 1 x 1/3', '3'], ['3623', '1 x 3 x 1/3', '2'], ['63864', '1 x 3 x 1/3', '1']]], ['3009', '1 x 6', [['3666', '1 x 6 x 1/3', '3']]], ['3009', '1 x 6', [['3666', '1 x 6 x 1/3', '3']]], ['3009', '1 x 6', [['3666', '1 x 6 x 1/3', '3']]], ['3009', '1 x 6', [['3666', '1 x 6 x 1/3', '1'], ['4081', '1 x 1 x 1/3', '6'], ['63864', '1 x 3 x 1/3', '2']]], ['87079', '2 x 4 x 1/3', [['3021', '2 x 3 x 1/3', '1'], ['11458', '1 x 2 x 1/3', '1']]], ['87079', '2 x 4 x 1/3', [['3021', '2 x 3 x 1/3', '1'], ['11458', '1 x 2 x 1/3', '1']]], ['14769', '2 x 2 x 1/3', [['18674', '2 x 2 x 1/3', '1']]], ['3710', '1 x 4 x 1/3', [['4081', '1 x 1 x 1/3', '1'], ['63864', '1 x 3 x 1/3', '1']]], ['3020', '2 x 4 x 1/3', [['3021', '2 x 3 x 1/3', '1'], ['11458', '1 x 2 x 1/3', '1']]], ['3020', '2 x 4 x 1/3', [['3021', '2 x 3 x 1/3', '1'], ['11458', '1 x 2 x 1/3', '1']]], ['3020', '2 x 4 x 1/3', [['3021', '2 x 3 x 1/3', '1'], ['11458', '1 x 2 x 1/3', '1']]], ['3020', '2 x 4 x 1/3', [['3021', '2 x 3 x 1/3', '1'], ['11458', '1 x 2 x 1/3', '1']]], ['69729', '2 x 6 x 1/3', [['3795', '2 x 6 x 1/3', '1']]], ['3005', '1 x 1', [['47905', '1 x 1', '1']]], ['3005', '1 x 1', [['47905', '1 x 1', '1']]], ['3005', '1 x 1', [['47905', '1 x 1', '1']]], ['3005', '1 x 1', [['47905', '1 x 1', '1']]], ['98283', '1 x 2', [['11458', '1 x 2 x 1/3', '3']]], ['98283', '1 x 2', [['11458', '1 x 2 x 1/3', '3']]], ['98283', '1 x 2', [['11458', '1 x 2 x 1/3', '1'], ['3023', '1 x 2 x 1/3', '2']]], ['98283', '1 x 2', [['3023', '1 x 2 x 1/3', '3']]], ['98283', '1 x 2', [['3023', '1 x 2 x 1/3', '3']]], ['98283', '1 x 2', [['3023', '1 x 2 x 1/3', '3']]], ['98283', '1 x 2', [['3023', '1 x 2 x 1/3', '3']]], ['98283', '1 x 2', [['3023', '1 x 2 x 1/3', '3']]]]"
